charity_name,regno,justgiving_id,cause_area,eaf,give_well_top_2017,give_well_standout_2017,life_you_can_save,ace,givewell_other,ad_hoc_david
"80,000 Hours",,,Effective altruism,1,,,,,,
Against Malaria Foundation,,,Global poverty,1,1,,1,,,
Albert-Schweitzer-Foundation,,,Animals,1,,,,,,
Animal Charity Evaluators,,,Animals,1,,,,,,
Animal Equality,1168309,822548,Animals,1,,,,1,,
Animal Ethics,,,Animals,1,,,,,,
Center for Applied Rationality,,,Effective altruism,1,,,,,,
Centre for Effective Altruism,1149828,,Effective altruism,1,,,,,,
Cool Earth,1117978,183708,Climate change,1,,,,,,
Development Media International,,,Global poverty,1,,1,1,,,
END Fund - deworming program,1122574,,Global poverty,1,1,,,,,
Evidence Action,,2238024,Global poverty,1,1,,1,,,
Food Fortification Initiative,,,Global poverty,1,,1,,,,
Future of Humanity Institute,,,Future,1,,,,,,
GAIN - Universal Salt Iodization program,,,Global poverty,1,,1,1,,,
"Georgetown University Initiative on Innovation, Development, and Evaluation ? Zusha! Road Safety Campaign",,,,,,1,,,,
GiveDirectly,1167938,,Global poverty,1,1,,1,,,
GiveWell,,,Global poverty,1,,,,,,
Great Ape Project,,,Animals,1,,,,,,
Humane Slaughter Association,1159690,,Animals,1,,,,,,
Iodine Global Network,,,Global poverty,1,,1,1,,,
Living Goods,,,Global poverty,1,,1,1,,,
Machine Intelligence Research Institute,,1927037,Future,1,,,,,,
Malaria Consortium,1099776,181721,Global poverty,1,1,,,,,
Mercy for Animals,,,Animals,1,,,,,,
New Incentives,,,Global poverty,1,,,,,,
Oxfam,202918,13441,Global poverty,,,,1,,,
Project Healthy Children,,,Global poverty,1,,1,1,,,
Schistosomiasis Control Initiative,273071,181972,Global poverty,1,1,,1,,,
Sightsavers,207544,179,Global poverty,1,1,,,,,
The Good Food Institute,,,Animals,1,.,,,1,,
The Humane League,,,Animals,1,,,,1,,
Helen Keller International,,,Global poverty,,1,,1,,,
D-Rev ,,,Global poverty,,,,1,,,
Fistula Foundation,,,Global poverty,,,,1,,,
Fred Hollows Foundation ,,,Global poverty,,,,1,,,
Innovations for Poverty Action,,,Global poverty,,,,1,,,
Once Acre Fund,,998971,Global poverty,,,,1,,,
Population Services International,,1869770,Global poverty,,,,1,,,
Possible-NOT-IDD,,,Global poverty,,,,1,,,
SEVA,,,Global poverty,,,,1,,,
Village Enterprise ,,,Global poverty,,,,1,,,
Global Fund To Fight Aids Tuberculosis And Malaria,980380092,,Global poverty,,,,,,1,
Gavi Alliance,980593375,,Global poverty,,,,,,1,
The Carter Center Inc,581454716,,Global poverty,,,,,,1,
Micronutrient Initiative Usa Inc,421772162,,Global poverty,,,,,,1,
Episcopal Relief,731635264,,Global poverty,,,,,,1,
Unicef UK,1072612,181813,Global poverty,,,,,,1,
Medecins Sans Frontieres (UK),1026588,253,Global poverty,,,,,,,1
No lean season,,,Global poverty,,,,,,,
Malaria No More,1126222,186165,Global poverty,,,,,,,1
WaterAid,288701,54697,Global poverty,,,,,,,1
Care International UK,292506,180,Global poverty,,,,,,,1